Topic,Stance,Argument
Control de armas,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that gun control is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Gun control can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
PensiÃ³n bÃ¡sica universal,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that universal basic pension is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Universal basic pension is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Cuotas de gÃ©nero,a favor,"{
  ""character attack premise"": ""Persons who advocate for gender quotas are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for gender quotas should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
ManipulaciÃ³n genÃ©tica,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for genetic manipulation should not be accepted.""
}"
ReducciÃ³n de la jornada laboral,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Reduction in working time should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Trabajo remoto,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that remote work is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Remote work can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
Aumento de la seguridad sacrificando la privacidad individual,en contra,"{
  ""major premise"": ""Dr. John Smith is an expert in medical ethics containing proposition that increasing security by sacrificing individual privacy undermines the value of human life."",
  ""minor premise"": ""Dr. Smith asserts that increasing security by sacrificing individual privacy undermines the value of human life."",
  ""conclusion"": ""Increasing security by sacrificing individual privacy undermines the value of human life.""
}"
Criptomonedas,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that cryptocurrencies is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Cryptocurrencies is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
Censura en redes sociales,en contra,"{
  ""character attack premise"": ""Dr. Smith is a heartless monster who does not care about human life."",
  ""conclusion"": ""Dr. Smith's argument for censorship in social networks should not be accepted.""
}"
Terraplanismo,a favor,"{
  ""major premise"": ""Medical professionals are in position to know about the treatment options available for terminally ill patients."",
  ""minor premise"": ""Many medical professionals argue that terraplanism is a humane option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery."",
  ""conclusion"": ""Terraplanism can be a morally justifiable option for terminally ill patients who are experiencing unbearable suffering and have little hope for recovery.""
}"
EnergÃ­a renovable,a favor,"{
  ""character attack premise"": ""Persons who advocate for renewable energy are heartless and lack compassion for the terminally ill."",
  ""conclusion"": ""The argument for renewable energy should not be accepted because it is coming from individuals who lack empathy and basic human decency.""
}"
Transporte elÃ©ctrico,a favor,"{
  ""major premise"": ""Dr. Jack Kevorkian is an expert in the field of assisted suicide and end-of-life care."",
  ""minor premise"": ""Dr. Kevorkian asserts that electric transport should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery."",
  ""conclusion"": ""Electric transport should be legalized and made available to terminally ill patients who are suffering intolerable pain and have no hope for recovery because Dr. Kevorkian is an expert in the field of assisted suicide and end-of-life care and asserts that this is the best course of action.""
}"
Eutanasia,en contra,"{
  ""major premise"": ""Medical professionals are in position to know about matters concerning the health and well-being of patients."",
  ""minor premise"": ""Medical professionals assert that euthanasia is contrary to the Hippocratic Oath which prohibits them from intentionally causing harm or death to patients."",
  ""conclusion"": ""Euthanasia is contrary to the principles of medical ethics and is therefore not an acceptable practice.""
}"
